Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,3.630000,3.660000,3.610000,3.610000,3.317044,1015300
2022-11-10,3.730000,3.750000,3.690000,3.710000,3.408929,1086700
2022-11-11,3.720000,3.740000,3.690000,3.730000,3.427306,764900
2022-11-14,3.750000,3.790000,3.750000,3.750000,3.445683,1080100
2022-11-15,3.720000,3.720000,3.670000,3.670000,3.372175,1580200
2022-11-16,3.630000,3.660000,3.620000,3.630000,3.335421,1409000
2022-11-17,3.600000,3.700000,3.590000,3.680000,3.381363,1718600
2022-11-18,3.670000,3.690000,3.660000,3.680000,3.381363,680200
2022-11-21,3.690000,3.710000,3.680000,3.680000,3.381363,904000
2022-11-22,3.690000,3.740000,3.690000,3.740000,3.436494,840100
2022-11-23,3.720000,3.740000,3.700000,3.730000,3.427306,630900
2022-11-25,3.780000,3.810000,3.780000,3.790000,3.482436,649700
2022-11-30,3.700000,3.720000,3.670000,3.720000,3.418117,1048100
2022-12-01,3.770000,3.830000,3.770000,3.770000,3.464060,1129100
2022-12-02,3.750000,3.760000,3.720000,3.720000,3.418117,931200
2022-12-05,3.730000,3.740000,3.640000,3.660000,3.362986,1261500
2022-12-06,3.690000,3.710000,3.650000,3.670000,3.372175,1425200
2022-12-07,3.670000,3.680000,3.640000,3.640000,3.344609,1025700
2022-12-08,3.590000,3.600000,3.540000,3.560000,3.271101,1085100
2022-12-09,3.570000,3.610000,3.570000,3.570000,3.280290,863800
2022-12-12,3.590000,3.600000,3.570000,3.580000,3.289478,1032800
2022-12-13,3.490000,3.510000,3.430000,3.440000,3.303885,1568500
2022-12-14,3.500000,3.510000,3.450000,3.460000,3.323093,2842000
2022-12-15,3.480000,3.490000,3.440000,3.440000,3.303885,1589200
2022-12-16,3.400000,3.420000,3.380000,3.410000,3.275072,3621500
2022-12-19,3.440000,3.460000,3.390000,3.410000,3.275072,1782200
2022-12-20,3.460000,3.470000,3.410000,3.410000,3.275072,1924000
2022-12-21,3.480000,3.510000,3.470000,3.510000,3.371115,1456200
2022-12-27,3.530000,3.560000,3.520000,3.560000,3.419137,1189200
2022-12-28,3.560000,3.580000,3.520000,3.540000,3.399928,1088700
2022-12-29,3.580000,3.640000,3.580000,3.620000,3.476762,1432100
2022-12-30,3.580000,3.610000,3.560000,3.570000,3.428741,1118200
2023-01-03,3.620000,3.640000,3.600000,3.630000,3.486367,1406600
2023-01-04,3.700000,3.730000,3.680000,3.710000,3.563201,1483900
2023-01-05,3.680000,3.720000,3.680000,3.700000,3.553597,698400
2023-01-06,3.700000,3.770000,3.700000,3.760000,3.611223,704000
2023-01-09,3.790000,3.820000,3.770000,3.780000,3.630432,1461800
2023-01-10,3.820000,3.840000,3.800000,3.830000,3.678453,1038200
2023-01-11,3.860000,3.870000,3.830000,3.870000,3.716870,2167500
2023-01-12,3.910000,3.960000,3.890000,3.960000,3.803309,2438600
2023-01-13,3.920000,3.980000,3.910000,3.970000,3.812914,1808500
2023-01-17,3.940000,3.960000,3.920000,3.950000,3.793705,1059100
2023-01-18,3.900000,3.910000,3.840000,3.840000,3.688057,977800
2023-01-19,3.820000,3.850000,3.800000,3.850000,3.697662,865500
2023-01-20,3.880000,3.910000,3.850000,3.910000,3.755288,732200
2023-01-23,3.900000,3.940000,3.890000,3.920000,3.764892,1297200
2023-01-24,3.850000,3.900000,3.850000,3.890000,3.736079,836400
2023-01-25,3.820000,3.860000,3.810000,3.850000,3.697662,1457800
2023-01-26,3.800000,3.820000,3.780000,3.810000,3.659245,1338300
2023-01-27,3.770000,3.850000,3.760000,3.840000,3.688057,1198800
2023-01-30,3.850000,3.870000,3.840000,3.840000,3.688057,927200
2023-01-31,3.820000,3.860000,3.810000,3.840000,3.688057,695600
2023-02-01,3.830000,3.900000,3.820000,3.890000,3.736079,963900
2023-02-02,3.890000,3.910000,3.870000,3.910000,3.755288,1180300
2023-02-03,3.850000,3.850000,3.750000,3.760000,3.611223,1524100
2023-02-06,3.730000,3.740000,3.690000,3.710000,3.563201,1143400
2023-02-07,3.730000,3.780000,3.720000,3.740000,3.592014,1613300
2023-02-08,3.800000,3.820000,3.800000,3.800000,3.649640,987600
2023-02-09,3.810000,3.830000,3.750000,3.750000,3.601619,1129400
2023-02-10,3.790000,3.810000,3.770000,3.810000,3.659245,799600
2023-02-13,3.780000,3.830000,3.770000,3.820000,3.668849,933400
2023-02-14,3.930000,3.970000,3.920000,3.950000,3.793705,1213800
2023-02-15,3.930000,3.980000,3.920000,3.980000,3.822518,807800
2023-02-21,4.010000,4.040000,3.990000,3.990000,3.832122,761100
2023-02-22,4.050000,4.060000,4.010000,4.030000,3.870540,1231300
2023-02-23,4.110000,4.120000,4.050000,4.080000,3.918561,1055700
2023-02-24,4.100000,4.120000,4.080000,4.120000,3.956978,601000
2023-02-27,4.120000,4.150000,4.110000,4.150000,3.985791,628600
2023-02-28,4.100000,4.120000,4.070000,4.090000,3.928165,1022600
2023-03-01,4.170000,4.190000,4.130000,4.140000,3.976187,700700
2023-03-02,4.140000,4.150000,4.090000,4.110000,3.947374,1240000
2023-03-03,4.120000,4.160000,4.100000,4.160000,3.995395,572300
2023-03-06,4.190000,4.220000,4.180000,4.200000,4.033813,681900
2023-03-07,4.200000,4.200000,4.100000,4.110000,3.947374,696900
2023-03-08,4.110000,4.150000,4.110000,4.130000,3.966583,615100
2023-03-09,4.120000,4.150000,4.110000,4.120000,3.956978,958200
2023-03-14,4.070000,4.070000,4.040000,4.070000,3.908957,855500
2023-03-15,3.920000,3.970000,3.910000,3.950000,3.793705,895300
2023-03-16,3.910000,3.940000,3.910000,3.930000,3.774496,864500
2023-03-17,3.900000,3.930000,3.880000,3.930000,3.774496,1868100
2023-03-20,3.930000,4.010000,3.930000,3.990000,3.832122,716700
2023-03-21,4.110000,4.120000,4.090000,4.100000,3.937770,655200
2023-03-22,4.110000,4.140000,4.080000,4.090000,3.928165,756400
2023-03-23,4.110000,4.140000,4.050000,4.090000,3.928165,618700
2023-03-24,4.010000,4.050000,4.000000,4.050000,3.889748,959000
2023-03-27,4.100000,4.120000,4.070000,4.100000,3.937770,454500
2023-03-28,4.100000,4.110000,4.080000,4.090000,3.928165,632200
2023-03-29,4.180000,4.220000,4.160000,4.200000,4.033813,1110600
2023-03-30,4.290000,4.300000,4.270000,4.290000,4.120252,838500
2023-03-31,4.300000,4.310000,4.280000,4.280000,4.110648,554000
2023-04-03,4.300000,4.330000,4.290000,4.330000,4.158669,453500
2023-04-04,4.290000,4.310000,4.280000,4.310000,4.139460,1664000
2023-04-05,4.380000,4.400000,4.360000,4.400000,4.225899,833400
2023-04-11,4.430000,4.440000,4.420000,4.420000,4.245108,839500
2023-04-12,4.440000,4.470000,4.440000,4.460000,4.283525,614700
2023-04-13,4.450000,4.500000,4.440000,4.500000,4.321942,609800
2023-04-14,4.470000,4.470000,4.420000,4.450000,4.273921,538000
2023-04-17,4.480000,4.480000,4.420000,4.470000,4.293129,686700
2023-04-18,4.490000,4.500000,4.470000,4.490000,4.312338,295500
2023-04-19,4.490000,4.510000,4.490000,4.490000,4.312338,575800
2023-04-20,4.480000,4.490000,4.410000,4.430000,4.254712,3669600
2023-04-21,4.420000,4.420000,4.380000,4.420000,4.245108,4583500
2023-04-24,4.400000,4.400000,4.380000,4.400000,4.225899,1335700
2023-04-25,4.320000,4.320000,4.290000,4.300000,4.129856,760400
2023-04-26,4.420000,4.460000,4.420000,4.440000,4.264317,1130000
2023-04-27,4.470000,4.530000,4.470000,4.530000,4.350756,744400
