Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,6.944000,7.032000,6.930000,7.018000,5.685828,5567024
2019-01-02,6.948000,7.032000,6.864000,6.998000,5.669624,17518650
2019-01-03,6.970000,7.068000,6.944000,7.010000,5.679346,24470524
2019-01-04,7.036000,7.128000,7.024000,7.062000,5.721475,15186132
2019-01-07,7.094000,7.122000,7.052000,7.116000,5.765225,14151358
2019-01-08,7.092000,7.150000,7.076000,7.090000,5.744160,19513524
2019-01-09,6.950000,6.966000,6.854000,6.864000,5.682074,19669304
2019-01-10,6.870000,6.902000,6.860000,6.902000,5.713531,16866776
2019-01-11,6.896000,6.934000,6.844000,6.910000,5.720152,19381512
2019-01-14,6.858000,6.930000,6.832000,6.878000,5.693663,23557285
2019-01-15,6.902000,6.952000,6.862000,6.924000,5.731743,31646567
2019-01-16,6.924000,6.946000,6.886000,6.918000,5.726776,18776758
2019-01-17,6.900000,6.966000,6.890000,6.950000,5.753265,14114538
2019-01-18,6.970000,7.076000,6.964000,7.064000,5.847636,43590135
2019-01-21,7.040000,7.054000,6.978000,7.010000,5.802935,16372654
2019-01-22,6.976000,7.048000,6.974000,7.048000,5.834391,18193906
2019-01-23,7.030000,7.094000,7.012000,7.070000,5.852603,13284127
2019-01-24,7.070000,7.114000,7.032000,7.114000,5.889027,21520582
2019-01-25,7.150000,7.194000,7.072000,7.072000,5.854259,18046695
2019-01-28,7.042000,7.092000,7.018000,7.068000,5.850947,10051075
2019-01-29,7.070000,7.166000,7.070000,7.140000,5.910549,12521379
2019-01-30,7.122000,7.146000,7.074000,7.108000,5.884059,15750946
2019-01-31,7.130000,7.200000,7.114000,7.200000,5.960217,17942759
2019-02-01,7.232000,7.242000,7.100000,7.164000,5.930417,14597614
2019-02-04,7.162000,7.192000,7.120000,7.192000,5.953596,8994917
2019-02-05,7.170000,7.234000,7.134000,7.234000,5.988364,20642476
2019-02-06,7.222000,7.270000,7.202000,7.244000,5.996641,9375185
2019-02-07,7.240000,7.270000,7.214000,7.240000,5.993330,11247951
2019-02-08,7.226000,7.244000,7.166000,7.182000,5.945317,10464171
2019-02-11,7.206000,7.276000,7.200000,7.236000,5.990019,12656160
2019-02-12,7.248000,7.326000,7.244000,7.264000,6.013197,11073143
2019-02-13,7.266000,7.266000,7.200000,7.230000,5.985052,12674352
2019-02-14,7.250000,7.288000,7.168000,7.184000,5.946974,25152799
2019-02-15,7.212000,7.272000,7.172000,7.250000,6.001608,19067188
2019-02-18,7.260000,7.280000,7.238000,7.242000,5.994986,8499324
2019-02-19,7.268000,7.288000,7.212000,7.228000,5.983397,9985276
2019-02-20,7.300000,7.440000,7.264000,7.322000,6.061211,15801088
2019-02-21,7.340000,7.426000,7.322000,7.400000,6.125780,15522835
2019-02-22,7.400000,7.434000,7.364000,7.418000,6.140680,12800852
2019-02-25,7.418000,7.434000,7.320000,7.336000,6.072800,15753321
2019-02-26,7.346000,7.354000,7.272000,7.334000,6.071144,16723586
2019-02-27,7.364000,7.398000,7.334000,7.342000,6.077767,16005001
2019-02-28,7.342000,7.358000,7.300000,7.352000,6.086045,16826911
2019-03-01,7.360000,7.378000,7.276000,7.292000,6.036376,17061460
2019-03-04,7.320000,7.332000,7.278000,7.312000,6.052932,8684536
2019-03-05,7.298000,7.372000,7.290000,7.350000,6.084389,10608939
2019-03-06,7.362000,7.390000,7.320000,7.376000,6.105912,14548404
2019-03-07,7.382000,7.646000,7.382000,7.636000,6.321142,25371503
2019-03-08,7.572000,7.676000,7.548000,7.548000,6.248295,16781189
2019-03-11,7.578000,7.594000,7.534000,7.588000,6.281407,25072927
2019-03-12,7.594000,7.668000,7.554000,7.634000,6.319487,19150149
2019-03-13,7.644000,7.688000,7.586000,7.588000,6.281407,14526292
2019-03-14,7.600000,7.628000,7.566000,7.596000,6.288030,44251482
2019-03-15,7.620000,7.740000,7.606000,7.672000,6.350943,57141894
2019-03-18,7.700000,7.722000,7.652000,7.722000,6.392333,12613918
2019-03-19,7.722000,7.786000,7.714000,7.736000,6.403924,8999202
2019-03-20,7.716000,7.778000,7.716000,7.768000,6.430413,16917284
2019-03-21,7.780000,7.834000,7.732000,7.780000,6.440346,12909540
2019-03-22,7.808000,7.816000,7.708000,7.728000,6.397301,19887490
2019-03-25,7.710000,7.772000,7.706000,7.770000,6.432069,16202245
2019-03-26,7.770000,7.800000,7.744000,7.766000,6.428757,33864966
2019-03-27,7.776000,7.884000,7.696000,7.884000,6.526439,16660197
2019-03-28,7.870000,7.912000,7.854000,7.854000,6.501605,14639087
2019-03-29,7.868000,7.884000,7.804000,7.826000,6.478426,15376854
2019-04-01,7.850000,7.870000,7.756000,7.770000,6.432069,24193279
2019-04-02,7.780000,7.840000,7.768000,7.798000,6.455248,19434139
2019-04-03,7.850000,7.910000,7.768000,7.910000,6.547962,14098173
2019-04-04,7.906000,7.996000,7.906000,7.960000,6.589351,16847269
2019-04-05,7.970000,7.972000,7.904000,7.942000,6.574452,15494007
2019-04-08,7.944000,7.972000,7.904000,7.904000,6.542995,12982381
2019-04-09,7.898000,7.968000,7.892000,7.914000,6.551273,11358480
2019-04-10,7.920000,7.982000,7.912000,7.948000,6.579418,11889971
2019-04-11,7.930000,7.936000,7.836000,7.848000,6.496637,26579030
2019-04-12,7.830000,7.884000,7.754000,7.754000,6.418823,14641892
2019-04-15,7.776000,7.808000,7.742000,7.790000,6.448625,10947586
2019-04-16,7.778000,7.810000,7.718000,7.718000,6.389022,11984851
2019-04-17,7.706000,7.766000,7.604000,7.762000,6.425446,12813675
2019-04-18,7.762000,7.796000,7.696000,7.778000,6.438691,22400785
2019-04-23,7.780000,7.838000,7.764000,7.838000,6.488358,14309266
2019-04-24,7.808000,7.816000,7.756000,7.812000,6.466837,16676568
2019-04-25,7.900000,8.154000,7.900000,8.148000,6.744979,18730675
2019-04-26,8.150000,8.196000,7.992000,8.044000,6.658887,21922145
2019-04-26,8.160000,8.186000,7.392000,8.144000,6.358887,21923245
2019-04-26,8.170000,8.176000,7.592000,8.045000,6.758887,21926645
2019-04-26,8.180000,8.166000,7.692000,8.043000,6.558887,21922111
2019-04-29,7.984000,8.000000,7.894000,7.934000,6.567829,11645155
2019-04-30,7.962000,8.098000,7.912000,8.098000,6.703588,14909010
2019-05-02,8.072000,8.072000,7.946000,7.946000,6.577763,17407043
2019-05-03,7.926000,8.006000,7.920000,7.976000,6.602596,8100534
2019-05-06,7.856000,8.008000,7.850000,8.006000,6.627432,8531245
2019-05-07,8.006000,8.154000,7.974000,8.022000,6.640676,13573801
2019-05-08,8.008000,8.034000,7.892000,7.914000,6.551273,12462673
2019-05-09,7.890000,7.952000,7.876000,7.880000,6.523128,12099226
2019-05-10,7.900000,8.020000,7.886000,7.992000,6.615842,13188139
2019-05-13,8.020000,8.076000,7.974000,8.062000,6.673789,13087753
2019-05-14,8.100000,8.114000,8.020000,8.114000,6.716835,10926842
2019-05-15,8.098000,8.192000,8.060000,8.192000,6.781404,14570619
2019-05-16,8.160000,8.220000,8.124000,8.214000,6.799615,13692814
2019-05-17,8.200000,8.228000,8.152000,8.180000,6.771470,14415021
2019-05-20,8.198000,8.230000,8.124000,8.174000,6.766503,17747821
2019-05-21,8.156000,8.194000,8.092000,8.160000,6.754913,14082024
2019-05-22,8.174000,8.308000,8.132000,8.300000,6.870807,9540349
2019-05-23,8.254000,8.322000,8.232000,8.264000,6.841005,22310468
2019-05-24,8.282000,8.450000,8.262000,8.450000,6.994977,15637958
2019-05-27,8.462000,8.560000,8.442000,8.496000,7.033057,9542794
2019-05-28,8.520000,8.554000,8.458000,8.476000,7.016501,40712169
2019-05-29,8.422000,8.448000,8.372000,8.440000,6.986699,13182008
2019-05-30,8.392000,8.496000,8.380000,8.418000,6.968488,9677326
2019-06-05,8.496000,8.608000,8.452000,8.604000,7.122461,52459976
2019-06-06,8.610000,8.778000,8.606000,8.778000,7.266500,19353019
2019-06-07,8.740000,8.908000,8.738000,8.870000,7.342657,15282547
2019-06-10,8.868000,8.878000,8.786000,8.818000,7.299611,9074585
2019-06-11,8.818000,8.836000,8.764000,8.798000,7.283056,14040365
2019-06-12,8.768000,8.890000,8.768000,8.890000,7.359214,17181907
2019-06-13,8.900000,8.948000,8.866000,8.900000,7.367491,18059901
2019-06-14,8.940000,8.958000,8.910000,8.958000,7.415504,13310497
2019-06-17,8.934000,8.960000,8.866000,8.900000,7.367491,15839552
2019-06-18,8.912000,9.126000,8.880000,9.068000,7.506563,17391424
2019-06-19,9.050000,9.050000,8.892000,8.910000,7.375770,25472090
2019-06-20,9.000000,9.028000,8.878000,8.904000,7.370803,21789277
2019-06-21,8.930000,9.000000,8.906000,8.950000,7.408883,47997690
2019-06-24,8.968000,8.974000,8.870000,8.944000,7.403915,17061755
2019-06-25,8.892000,8.940000,8.882000,8.886000,7.355901,47459808
2019-06-26,8.880000,8.884000,8.814000,8.820000,7.301267,17788145
2019-06-27,8.816000,8.816000,8.742000,8.776000,7.264843,17295109
2019-06-28,8.756000,8.774000,8.686000,8.766000,7.256567,21809715
2019-07-01,8.836000,8.836000,8.638000,8.740000,7.235042,17479315
2019-07-02,8.776000,8.928000,8.758000,8.886000,7.355901,27504858
2019-07-03,8.946000,9.052000,8.922000,9.002000,7.451927,22703513
2019-07-04,8.846000,8.848000,8.680000,8.732000,7.392665,15187458
2019-07-05,8.710000,8.764000,8.564000,8.630000,7.306310,19684905
