Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,11.580046,12.240048,11.400045,11.520046,11.083490,84488
2018-10-30,11.994047,12.192048,11.586046,11.616046,11.175852,43502
2018-10-31,11.976047,13.248052,11.682046,12.948051,12.457380,117041
2018-11-01,12.924051,15.096060,12.648050,15.096060,14.523989,174264
2018-11-02,15.228060,16.932068,14.184056,16.920067,16.278875,193209
2018-11-05,16.680065,17.040068,15.900063,16.440065,15.817065,124805
2018-11-06,16.476065,16.476065,15.720062,16.032064,15.424524,69970
2018-11-07,16.380066,16.416065,15.960063,16.332066,15.713156,42767
2018-11-08,16.104065,16.560066,15.456061,16.224064,15.609247,104894
2018-11-09,16.332066,16.332066,15.228060,15.300061,14.720259,62845
2018-11-12,15.240060,15.240060,14.352057,14.448057,13.900542,47733
2018-11-13,14.616058,15.288061,14.352057,14.940059,14.373899,73874
2018-11-14,14.664058,14.772059,12.648050,12.648050,12.168748,138784
2018-11-15,12.816051,13.200052,12.180048,12.528050,12.053295,115148
2018-11-16,12.408049,13.116052,12.264049,12.468049,11.995567,80076
2018-11-19,12.432049,13.068052,12.432049,12.888051,12.399654,62764
2018-11-20,12.780051,12.780051,12.132048,12.288049,11.822388,68852
2018-11-21,12.312049,12.588050,12.000048,12.420049,11.949387,100400
2018-11-22,12.516050,13.200052,12.252049,12.624050,12.145658,77960
2018-11-23,12.660050,12.720050,12.384049,12.540050,12.064840,32485
2018-11-26,12.600050,12.960051,12.492049,12.828051,12.341927,73776
2018-11-27,12.960051,13.980055,12.840051,13.788055,13.265552,121392
2018-11-28,13.788055,14.160056,13.440053,13.596054,13.080827,93084
2018-11-29,13.560054,13.776055,13.260053,13.356053,12.849920,37757
2018-11-30,13.440053,13.560054,12.840051,12.912051,12.422745,432821
2018-12-03,12.972051,13.872055,12.840051,13.800055,13.277096,100490
2018-12-04,13.716054,14.448057,13.452053,14.352057,13.808181,65993
2018-12-05,14.328057,15.120060,14.112056,14.844059,14.281538,60891
2018-12-06,14.832059,14.832059,13.800055,13.812055,13.288641,90358
2018-12-07,13.944055,14.232056,13.800055,13.836055,13.311731,33016
2018-12-10,13.332053,14.376057,13.320053,13.800055,13.277096,65772
2018-12-11,14.400057,16.464066,14.400057,15.360061,14.777986,220785
2018-12-12,15.360061,16.428064,15.300061,16.116064,15.505341,117680
2018-12-13,16.440065,16.440065,15.252061,15.384061,14.801076,52387
2018-12-14,15.240060,15.312061,14.904059,15.012060,14.443172,39301
2018-12-17,15.036060,15.396061,14.700058,14.832059,14.269992,35532
2018-12-18,14.544058,14.712058,14.280057,14.484057,13.935179,52222
2018-12-19,14.316057,14.496057,13.800055,13.812055,13.288641,47764
2018-12-20,13.776055,14.016056,13.608054,13.920055,13.392550,45602
2018-12-21,13.860055,14.172056,13.668054,14.004056,13.473368,72880
2018-12-24,13.860055,14.280057,13.860055,14.040056,13.508004,16246
2018-12-27,13.908055,14.232056,13.560054,13.860055,13.334823,97664
2018-12-28,13.620054,14.148056,13.056052,13.080052,12.584379,83965
2018-12-31,12.996051,13.140052,12.840051,13.080052,12.584379,75363
2019-01-02,13.284053,14.580058,12.936051,14.400057,13.854362,95998
2019-01-03,14.400057,14.832059,14.112056,14.592058,14.039086,63736
2019-01-04,14.628058,15.936063,14.628058,15.600062,15.008892,95278
2019-01-07,15.840063,17.232067,15.840063,17.232067,16.579050,127017
2019-01-08,17.400068,18.120071,16.632067,16.872066,16.232695,185914
2019-01-09,16.992067,17.376068,16.680065,16.992067,16.348146,44171
2019-01-10,16.980066,17.148067,16.788067,16.812067,16.174969,16618
2019-01-11,16.812067,17.088068,16.692066,16.908068,16.267332,23575
2019-01-14,16.920067,17.016068,16.260065,16.260065,15.643885,44721
2019-01-15,15.948063,16.704065,15.480061,16.200064,15.586157,149344
2019-01-16,16.140064,16.464066,15.744062,15.768063,15.170526,59622
2019-01-17,15.744062,15.864063,15.156060,15.240060,14.662532,69502
2019-01-18,15.576062,16.080065,15.264061,15.264061,14.685623,66551
2019-01-21,15.240060,16.056065,14.856059,15.708062,15.112800,99388
2019-01-22,15.480061,15.684062,15.204060,15.204060,14.627896,108911
2019-01-23,15.372061,15.828063,14.952059,15.612062,15.020437,87319
2019-01-24,16.452065,17.496069,16.284065,16.320065,15.701609,252617
2019-01-25,16.476065,17.016068,15.924063,15.924063,15.320615,127592
2019-01-28,16.020063,16.428064,15.852063,15.972063,15.366796,76104
2019-01-29,15.900063,16.728065,15.744062,16.212065,15.597702,118726
2019-01-30,16.092064,16.248064,15.504062,15.684062,15.089708,103615
2019-01-31,15.948063,16.248064,15.264061,15.516062,14.928075,117416
2019-02-01,15.528062,15.528062,14.676058,14.784059,14.223811,93265
2019-02-04,14.988059,15.024060,14.640058,14.844059,14.281538,62593
2019-02-05,15.060060,16.680065,15.060060,16.224064,15.609247,167197
2019-02-06,16.548065,17.004068,15.876063,16.488066,15.863246,156155
2019-02-07,16.464066,16.680065,15.852063,15.852063,15.251344,62221
2019-02-08,15.852063,15.852063,15.360061,15.480061,14.893437,51217
2019-02-11,15.612062,15.924063,15.504062,15.900063,15.297523,35116
2019-02-12,16.080065,16.200064,15.600062,15.756063,15.158981,41785
2019-02-13,15.780063,15.840063,15.444061,15.468061,14.881894,21106
2019-02-14,15.660062,15.768063,15.408061,15.492061,14.904984,22330
2019-02-15,15.588062,16.476065,15.480061,16.260065,15.643885,55727
2019-02-18,16.320065,17.976070,16.320065,17.676069,17.006227,311534
2019-02-19,17.640070,18.240072,17.172068,17.628071,16.960047,148753
2019-02-20,17.784071,18.000072,16.920067,17.856071,17.179411,77744
2019-02-21,17.940071,17.940071,17.400068,17.424068,16.763777,45009
2019-02-22,17.556070,18.348072,17.460070,17.820070,17.144773,107075
2019-02-25,17.880072,18.084072,17.556070,17.568069,16.902321,56430
2019-02-26,17.532070,18.288073,17.160069,18.180073,17.491133,85886
2019-02-27,18.228071,18.228071,17.580070,17.592070,16.925409,44332
2019-02-28,17.640070,17.772072,17.424068,17.544069,16.879230,29377
2019-03-01,17.520069,17.952070,17.412069,17.940071,17.260225,66435
2019-03-04,17.976070,18.996075,17.976070,18.504074,17.802856,157286
2019-03-05,18.468073,18.672073,18.012072,18.480074,17.779764,48904
2019-03-06,18.444073,18.504074,18.084072,18.204073,17.514223,34731
2019-03-07,18.192072,18.192072,16.800068,17.040068,16.394327,178703
2019-03-08,16.860067,16.992067,16.212065,16.812067,16.174969,93702
2019-03-11,16.800068,17.256069,16.692066,16.872066,16.232695,44780
2019-03-12,17.040068,17.256069,16.800068,17.064068,16.417418,33441
2019-03-13,17.040068,17.436069,16.956066,17.040068,16.394327,35636
2019-03-14,17.040068,17.424068,16.980066,17.040068,16.394327,39244
2019-03-15,17.160069,17.640070,16.980066,17.400068,16.740686,62489
2019-03-18,17.556070,17.640070,17.088068,17.112068,16.463600,31840
2019-03-19,17.076069,17.556070,17.076069,17.424068,16.763777,18382
