,fecha,producto,productos_vendidos,precio_producto
0,2006-01-18,15,4,13.53
1,2023-05-31,2,4,3.57
2,2007-08-01,13,2,1.78
3,2013-11-17,8,3,2.11
4,2010-12-01,18,3,26.59
5,2010-03-12,4,2,9.13
6,2001-12-03,3,1,10.65
7,2014-04-07,15,2,13.53
8,2022-03-14,17,3,23.49
9,2023-04-02,18,4,26.59
10,2019-05-09,8,1,2.11
11,2001-04-15,15,3,13.53
12,2022-03-17,15,1,13.53
13,2020-06-04,4,4,9.13
14,2014-04-08,19,1,7.29
15,2017-07-07,14,4,2.81
16,2016-08-15,8,4,2.11
17,2013-04-20,18,2,26.59
18,2002-01-18,13,3,1.78
19,2020-07-31,8,1,2.11
20,2009-01-12,18,3,26.59
21,2016-06-22,10,4,3.35
22,2011-09-01,15,3,13.53
23,2000-03-01,18,3,26.59
24,2022-05-28,2,1,3.57
25,2011-08-08,15,2,13.53
26,2011-02-23,12,3,0.53
27,2014-03-17,10,2,3.35
28,2019-07-20,18,1,26.59
29,2020-07-02,2,2,3.57
30,2015-03-06,5,2,0.96
31,2012-08-20,7,4,26.32
32,2010-06-04,8,2,2.11
33,2003-07-03,18,2,26.59
34,2010-12-18,12,4,0.53
35,2016-08-30,13,2,1.78
36,2012-05-24,10,2,3.35
37,2010-10-31,7,3,26.32
38,2021-06-10,17,4,23.49
39,2001-07-16,8,4,2.11
40,2005-02-02,2,2,3.57
41,2003-11-23,11,2,3.5
42,2023-09-13,16,3,3.75
43,2013-04-17,13,3,1.78
44,2012-02-03,6,1,15.76
45,2021-05-04,1,4,23.06
46,2023-06-28,2,4,3.57
47,2000-01-22,16,2,3.75
48,2004-03-09,2,4,3.57
49,2011-06-19,8,3,2.11
50,2013-04-06,14,2,2.81
51,2014-04-24,16,2,3.75
52,2004-09-20,11,4,3.5
53,2019-01-22,15,4,13.53
54,2003-08-12,16,4,3.75
55,2019-08-11,11,4,3.5
56,2012-04-20,7,1,26.32
57,2003-05-15,18,3,26.59
58,2001-07-15,1,3,23.06
59,2023-04-07,9,2,21.8
60,2017-11-11,12,1,0.53
61,2015-02-22,9,1,21.8
62,2011-07-08,12,1,0.53
63,2020-05-24,12,4,0.53
64,2004-04-30,5,1,0.96
65,2003-07-19,16,3,3.75
66,2008-11-28,16,1,3.75
67,2019-02-20,0,3,20.15
68,2011-10-08,6,1,15.76
69,2013-06-16,16,2,3.75
70,2006-04-03,17,1,23.49
71,2015-10-10,8,3,2.11
72,2012-05-25,3,4,10.65
73,2017-10-28,4,4,9.13
74,2003-09-30,6,3,15.76
75,2002-12-19,10,4,3.35
76,2004-03-21,7,3,26.32
77,2007-12-06,0,4,20.15
78,2019-12-16,16,4,3.75
79,2018-03-28,18,1,26.59
80,2020-05-10,16,4,3.75
81,2022-09-30,13,1,1.78
82,2006-02-05,1,4,23.06
83,2018-02-05,15,3,13.53
84,2022-09-27,6,2,15.76
85,2008-10-15,9,3,21.8
86,2013-06-15,15,1,13.53
87,2013-11-18,1,1,23.06
88,2021-07-23,19,3,7.29
89,2011-06-12,16,2,3.75
90,2021-12-04,14,1,2.81
91,2022-07-29,12,3,0.53
92,2021-04-28,5,3,0.96
93,2005-06-01,4,2,9.13
94,2004-11-24,6,3,15.76
95,2013-12-31,4,2,9.13
96,2010-01-20,18,4,26.59
97,2020-04-26,19,4,7.29
98,2008-11-29,3,1,10.65
99,2023-03-02,3,1,10.65
100,2005-12-06,1,1,23.06
101,2005-03-29,18,3,26.59
102,2019-10-16,19,3,7.29
103,2017-10-24,17,1,23.49
104,2005-05-08,12,1,0.53
105,2000-02-11,16,4,3.75
106,2002-07-19,9,1,21.8
107,2003-08-04,0,2,20.15
108,2017-09-24,11,1,3.5
109,2003-01-07,3,3,10.65
110,2020-11-25,15,2,13.53
111,2013-07-12,4,4,9.13
112,2000-08-23,7,1,26.32
113,2016-04-24,10,1,3.35
114,2000-12-03,18,2,26.59
115,2000-08-11,13,2,1.78
116,2016-03-27,17,1,23.49
117,2009-02-10,16,4,3.75
118,2001-01-30,10,3,3.35
119,2000-03-03,12,2,0.53
120,2011-05-01,12,2,0.53
121,2011-04-26,10,2,3.35
122,2012-09-07,18,3,26.59
123,2001-09-13,19,1,7.29
124,2010-02-24,10,4,3.35
125,2022-05-14,15,2,13.53
126,2021-01-21,6,1,15.76
127,2017-11-18,0,2,20.15
128,2010-08-30,3,3,10.65
129,2023-04-28,16,3,3.75
130,2017-07-09,0,2,20.15
131,2003-03-03,6,2,15.76
132,2010-03-07,16,3,3.75
133,2001-10-03,10,4,3.35
134,2002-05-08,2,4,3.57
135,2009-05-18,11,3,3.5
136,2023-03-19,14,4,2.81
137,2005-03-09,10,4,3.35
138,2013-09-14,12,4,0.53
139,2002-10-27,8,3,2.11
140,2007-01-08,9,2,21.8
141,2010-06-14,3,1,10.65
142,2023-01-14,12,2,0.53
143,2013-12-15,3,3,10.65
144,2000-04-19,3,4,10.65
145,2001-03-28,16,2,3.75
146,2020-01-22,13,3,1.78
147,2003-01-04,5,2,0.96
148,2010-05-19,10,4,3.35
149,2003-02-14,7,1,26.32
150,2022-09-22,11,3,3.5
151,2019-03-26,3,1,10.65
152,2009-09-17,14,1,2.81
153,2019-03-31,9,2,21.8
154,2022-08-06,16,4,3.75
155,2014-02-23,11,2,3.5
156,2009-01-28,13,1,1.78
157,2004-08-11,4,3,9.13
158,2020-01-02,7,1,26.32
159,2003-10-21,6,1,15.76
160,2001-05-07,16,2,3.75
161,2022-06-19,6,4,15.76
162,2016-12-08,16,3,3.75
163,2023-06-15,16,2,3.75
164,2013-08-02,1,2,23.06
165,2003-03-19,16,2,3.75
166,2023-01-28,10,3,3.35
167,2002-07-31,15,4,13.53
168,2013-04-11,18,4,26.59
169,2002-01-26,10,4,3.35
170,2020-07-02,14,4,2.81
171,2019-12-02,5,1,0.96
172,2022-04-20,1,4,23.06
173,2007-06-12,3,1,10.65
174,2012-04-09,2,2,3.57
175,2014-07-09,8,4,2.11
176,2011-04-03,8,2,2.11
177,2015-06-02,14,2,2.81
178,2021-08-29,1,4,23.06
179,2002-04-17,10,3,3.35
180,2007-01-17,9,1,21.8
181,2023-02-27,18,4,26.59
182,2003-08-05,7,3,26.32
183,2003-09-09,8,4,2.11
184,2011-09-20,4,4,9.13
185,2017-02-18,13,4,1.78
186,2010-12-03,2,1,3.57
187,2014-08-06,18,3,26.59
188,2004-12-17,18,2,26.59
189,2006-04-22,10,3,3.35
190,2000-03-29,5,4,0.96
191,2016-12-27,9,3,21.8
192,2001-11-03,8,3,2.11
193,2016-08-21,3,1,10.65
194,2008-06-24,11,2,3.5
195,2005-10-02,14,4,2.81
196,2020-07-10,13,1,1.78
197,2015-12-09,9,4,21.8
198,2004-07-14,4,4,9.13
199,2017-02-10,2,4,3.57
200,2012-09-12,4,1,9.13
201,2014-12-30,16,4,3.75
202,2013-01-13,14,2,2.81
203,2018-07-06,19,1,7.29
204,2002-01-16,18,2,26.59
205,2017-05-13,3,1,10.65
206,2018-08-26,12,2,0.53
207,2015-03-07,17,4,23.49
208,2023-09-08,14,1,2.81
209,2015-08-05,17,4,23.49
210,2013-02-22,8,4,2.11
211,2005-07-31,6,1,15.76
212,2018-01-26,1,4,23.06
213,2002-03-05,15,3,13.53
214,2004-08-17,4,1,9.13
215,2009-10-09,2,3,3.57
216,2002-11-19,7,4,26.32
217,2002-10-04,11,4,3.5
218,2013-03-09,14,3,2.81
219,2020-07-30,3,4,10.65
220,2021-08-06,17,3,23.49
221,2022-08-10,12,4,0.53
222,2000-07-26,16,2,3.75
223,2009-02-21,9,4,21.8
224,2021-11-20,14,2,2.81
225,2012-09-13,18,4,26.59
226,2018-10-18,8,1,2.11
227,2023-03-16,0,1,20.15
228,2005-03-15,6,4,15.76
229,2019-03-08,14,3,2.81
230,2004-04-17,5,1,0.96
231,2016-11-11,7,2,26.32
232,2011-03-05,1,2,23.06
233,2003-04-24,7,4,26.32
234,2022-08-07,6,1,15.76
235,2004-05-04,8,4,2.11
236,2018-08-25,12,1,0.53
237,2010-07-05,10,2,3.35
238,2008-02-19,1,3,23.06
239,2010-12-01,17,4,23.49
240,2021-08-29,9,2,21.8
241,2017-09-04,14,3,2.81
242,2016-08-25,8,2,2.11
243,2005-05-11,0,4,20.15
244,2012-01-07,5,4,0.96
245,2001-09-27,1,3,23.06
