Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
UBESOL SL,1392,C2,2022,286477.305722972,869,ATZENETA D'ALBAIDA,77942.1638508929,135155.556647657,213097.72049855,135049.70444529,11037.151857735,286477.305722972,1222.29772447022,1222.29772447022,1.397,0.574,0.659
ANGLES TEXTIL SA,1310,C2,2021,170850.235336204,1146,ANGLES,68070.3721627833,127439.191391353,195509.563554136,84699.8571127503,33824.6414604956,170850.235336204,1699.33156285193,1699.33156285193,3.23,0.869,1.601
GIRO GH SA,1396,U1,2021,143562.730453269,433,BADALONA,28950.3568180919,73042.6578103352,101993.014628427,66152.1904963946,1636.33448761225,143562.730453269,11237.473371613,11237.473371613,21.501,11.018,9.908
LIWE ESPANOLA S.A.,1399,C1,2022,133807.039000988,1593,PUENTE TOCINOS,40178.8027226925,79530.9908419847,119709.793564677,39951.6170316935,16686.9489938021,133807.039000988,1079.39868211746,1079.39868211746,2.0,0.902,0.597
PGI SPAIN SLU,1395,U1,2022,125458.2732529,245,BARCELONA,39339.0990696503,40757.0481783039,80096.1472479542,38545.3218074535,8694.9566956856,125458.2732529,6012.03477396046,6012.03477396046,20.797,7.506,6.39
BC NONWOVENS S.L.,1395,U1,2022,113409.759430958,206,BARCELONA,55594.0056824631,16142.9555232036,71736.9612056667,25862.0009815222,20479.7383764672,113409.759430958,-393.985851970315,-393.985851970315,-4.966,-0.549,-1.132
TEXTIL SANTANDERINA SA,1320,C2,2022,104065.481088411,272,CABEZON DE LA SAL,20723.8751491573,67451.1294899773,88175.0046391346,46132.7593896595,8550.78827684037,104065.481088411,-1300.15884715338,-1300.15884715338,-5.061,-1.475,-2.244
ORIGINAL BUFF SA,1392,C2,2021,103253.102423973,302,IGUALADA,19092.8353149245,50542.5701130293,69635.4054279538,54806.48442419,4.31686014529109,103253.102423973,16255.403774378,16255.403774378,40.287,23.344,21.384
SAULEDA SA,1320,U1,2021,82655.7139147711,160,BARCELONA,18810.5689030492,60060.1551264007,78870.7240294499,57298.1610192681,1343.5446003572,82655.7139147711,5619.30454894867,5619.30454894867,12.774,7.125,8.855
SEDATEX SA,1320,U1,2022,82177.3441434642,68,OLESA DE MONTSERRAT,55852.7056979059,63972.8453972643,119825.55109517,43978.8249511394,31678.637102782,82177.3441434642,479.949088352186,479.949088352186,1.195,0.401,0.64
INDUSTRIAS MURTRA SA,1392,C2,2021,81899.8235949278,563,GRANOLLERS,51253.3019149303,55930.1518384218,107183.453753352,40348.7928243876,30371.2169610262,81899.8235949278,1263.2934281826,1263.2934281826,4.793,1.179,2.361
VELCRO EUROPE SA,1396,U1,2021,71710.5884671211,351,ARGENTONA,61007.5155615807,26308.0399417877,87315.5555033684,70861.1382365227,1471.24779939651,71710.5884671211,1854.06670331955,1854.06670331955,3.496,2.123,3.454
BANDALUX INDUSTRIAL SA,1392,U1,2022,70779.7343380466,260,MORANA,16966.8838104647,38576.9118824105,55543.7956928752,33394.8362208362,6896.91989963058,70779.7343380466,5598.79549394049,5598.79549394049,21.428,10.08,10.11
ALGODONERA DEL SUR SA,1310,C2,2022,58790.7750046915,271,LEBRIJA,151926.134592863,103679.404818265,255605.539411129,94251.6455469912,53089.7655421674,58790.7750046915,10210.5302361101,10210.5302361101,13.083,3.995,20.974
INTERFABRICS SL,1320,U1,2022,58738.3797554061,83,ALCOI/ALCOY,3941.0837438673,34350.002268921,38291.0860127883,23705.4819484562,2973.55126399978,58738.3797554061,1030.90201395158,1030.90201395158,5.139,2.692,2.074
